question_number,statement,option_1,option_2,option_3,option_4
114,"## Mudanças climáticas e ilhas de calor urbanas
A variação da incidência de radiação solar sobre a superfície da Terra resulta em uma variação de temperatura ao longo de um dia denominada amplitude térmica. Edificações e pavimentações realizadas nas áreas urbanas contribuem para alterar as amplitudes térmicas dessas regiões, em comparação com regiões que mantêm suas características naturais, com presença de vegetação e água, já que o calor específico do concreto é inferior ao da água. Assim, parte da avaliação do impacto ambiental que a presença de concreto proporciona às áreas urbanas consiste em considerar a substituição da área concretada por um mesmo volume de água e comparar as variações de temperatura devido à absorção da radiação solar nas duas situações (concretada e alagada). Desprezando os efeitos da evaporação e considerando que toda a radiação é absorvida, essa avaliação pode ser realizada com os seguintes dados:

| Unnamed: 0   | Densidade (kg/m3)   | Calor específico (J/g°C)    |
|:-------------|:--------------------------|:-------------------------------------|
| Água         | 1 000                     | 4,2                                  |
| Concreto     | 2 500                     | 0,8                                  |

A razão entre as variações de temperatura nas áreas concretada e alagada é mais próxima de","1,0.","2,1.","2,5.","5,3."
115,"O elemento iodo (I) tem função biológica e é acumulado na tireoide. Nos acidentes nucleares de Chernobyl e Fukushima, ocorreu a liberação para a atmosfera do radioisótopo iodo-131, responsável por enfermidades nas pessoas que foram expostas a ele. O decaimento de uma massa de 12 microgramas do isótopo iodo-131 foi monitorado por 14 dias, conforme o quadro.

|   Tempo (dia)  | Massa residual de iodo-131 (µg)    |
|---------------:|:-------------------------------|
|             0  | 12,0                           |
|             2  | 10,1                           |
|             4  | 8,5                            |
|             5  | 7,8                            |
|             6  | 7,2                            |
|             8  | 6,0                            |
|            14  | 3,6                            |

Após o período de 40 dias, a massa residual desse isótopo é mais próxima de","2,4 microgramas.","1,5 micrograma.","0,8 micrograma.","0,4 micrograma."
116,"Desde a proposição da teoria de seleção natural por Darwin, os seres vivos nunca mais foram olhados da mesma forma. No que diz respeito à reprodução de anfíbios anuros, os cientistas já descreveram diferentes padrões reprodutivos, como os exemplificados a seguir:
Espécie 1 – As fêmeas produzem cerca de 5 000 gametas, que são fecundados na água, em lagoas temporárias de estação chuvosa. Todo o desenvolvimento embrionário, do ovo à metamorfose, ocorre, nesse ambiente, independente dos pais.
Espécie 2 – As fêmeas produzem aproximadamente 200 gametas, que são depositados em poças próximas a corpos-d’água. Os embriões são vigiados pelos machos durante boa parte do seu desenvolvimento.
Espécie 3 – As fêmeas produzem por volta de 20 gametas, que são fecundados sobre a superfície das folhas de plantas cujos galhos estão dispostos acima da superfície de corpos-d’água e aí se desenvolvem até a eclosão.
Espécie 4 – As fêmeas produzem poucos gametas que, quando fecundados, são ""abocanhados"" pelos machos. Os embriões se desenvolvem no interior do saco vocal do macho até a metamorfose, quando saem através da boca do pai.
Os padrões descritos evidenciam que",as fêmeas influenciam o comportamento dos machos.,o cuidado parental é necessário para o desenvolvimento.,o grau de evolução determina o comportamento reprodutivo.,o sucesso reprodutivo pode ser garantido por estratégias diferentes.
117,"O eixo de rotação da Terra apresenta uma inclinação em relação ao plano de sua órbita em torno do Sol, interferindo na duração do dia e da noite ao longo do ano.
[[placeholder]]
Uma pessoa instala em sua residência uma placa fotovoltaica, que transforma energia solar em elétrica. Ela monitora a energia total produzida por essa placa em 4 dias do ano, ensolarados e sem nuvens, e lança os resultados no gráfico.
[[placeholder]]
Próximo a que região se situa a residência onde as placas foram instaladas?",Trópico de Capricórnio.,Trópico de Câncer.,Polo Norte.,Polo Sul.
118,"A biomassa celulósica pode ser utilizada para a produção de etanol de segunda geração. Entretanto, é necessário que os polissacarídeos sejam convertidos em mono e dissacarídeos, processo que pode ser conduzido em meio ácido, conforme mostra o esquema:
[[placeholder]]
Nessa conversão de polissacarídeos, a função do íon H de carga positiva é",dissolver os reagentes.,deslocar o equilíbrio químico.,aumentar a velocidade da reação.,mudar a constante de equilíbrio da reação.
119,"O ácido tartárico é o principal ácido do vinho e está diretamente relacionado com sua qualidade. Na avaliação de um vinho branco em produção, uma analista neutralizou uma alíquota de 25,0 mililitros do vinho com NaOH a 0,10 mol por litro, consumindo um volume igual a 8,0 mililitros dessa base. A reação para esse processo de titulação é representada pela equação química:
[[placeholder]]
A concentração de ácido tartárico no vinho analisado é mais próxima de:","1,8 grama por litro","2,4 gramas por litro","3,6 gramas por litro","4,8 gramas por litro"
120,"Diversas substâncias são empregadas com a intenção de incrementar o desempenho esportivo de atletas de alto nível. O chamado doping sanguíneo, por exemplo, pela utilização da eritropoietina, é proibido pelas principais federações de esportes no mundo. A eritropoietina é um hormônio produzido pelos rins e fígado e sua principal ação é regular o processo de eritropoiese. Seu uso administrado intravenosamente em quantidades superiores àquelas presentes naturalmente no organismo permite que o indivíduo aumente a sua capacidade de realização de exercícios físicos.
Esse tipo de doping está diretamente relacionado ao aumento da",frequência cardíaca.,capacidade pulmonar.,massa muscular do indivíduo.,atividade anaeróbica da musculatura.
121,"Em um autódromo, os carros podem derrapar em uma curva e bater na parede de proteção. Para diminuir o impacto de uma batida, pode-se colocar na parede uma barreira de pneus, isso faz com que a colisão seja mais demorada e o carro retorne com velocidade reduzida. Outra opção é colocar uma barreira de blocos de um material que se deforma, tornando-a tão demorada quanto a colisão com os pneus, mas que não permite a volta do carro após a colisão.
Comparando as duas situações, como ficam a força média exercida sobre o carro e a energia mecânica dissipada?","A força é maior na colisão com a barreira de pneus, e a energia dissipada é maior na colisão com a barreira de blocos.","A força é maior na colisão com a barreira de blocos, e a energia dissipada é maior na colisão com a barreira de pneus.","A força é maior na colisão com a barreira de blocos, e a energia dissipada é a mesma nas duas situações.","A força é maior na colisão com a barreira de pneus, e a energia dissipada é maior na colisão com a barreira de pneus."
122,"A penicilamina é um medicamento de uso oral utilizado no tratamento de várias doenças. Esse composto é excretado na urina, cujo pH se situa entre 5 e 7. A penicilamina, cuja fórmula estrutural plana está apresentada, possui três grupos funcionais que podem ser ionizados:
• carboxila: ligação simples COOH, cujo pKa é igual a 1,8;
• amino: ligação simples NH2, que pode ser convertido em amínio (ligação simples NH3 de carga positiva, cujo pKa é igual a 7,9);
• tiol: ligação simples SH, cujo pKa é igual a 10,5.
Sabe-se que pKa é igual a menos logaritmo de Ka.

[[placeholder]]
Qual estrutura derivada da penicilamina é predominantemente encontrada na urina?",[[placeholder]],[[placeholder]],[[placeholder]],[[placeholder]]
123,"Tribologia é o estudo da interação entre duas superfícies em contato, como desgaste e atrito, sendo de extrema importância na avaliação de diferentes produtos e de bens de consumo em geral. Para testar a conformidade de uma muleta, realiza-se um ensaio tribológico, pressionando-a verticalmente contra o piso com uma força vetor F, conforme ilustra a imagem, em que CM representa o centro de massa da muleta.
[[placeholder]]
Mantendo-se a força vetor F paralela à muleta, varia-se lentamente o ângulo entre a muleta e a vertical, até o máximo ângulo imediatamente anterior ao de escorregamento, denominado ângulo crítico. Esse ângulo também pode ser calculado a partir da identificação dos pontos de aplicação, da direção e do sentido das forças peso (vetor P), normal (vetor N) e de atrito estático (vetor fe).
O esquema que representa corretamente todas as forças que atuam sobre a muleta, apoiada no chão e inclinada para a direita, quando ela atinge o ângulo crítico é:",[[placeholder]],[[placeholder]],[[placeholder]],[[placeholder]]
124,"A extinção de espécies é uma ameaça real que afeta diversas regiões do país. A introdução de espécies exóticas pode ser considerada um fator maximizador desse processo. A jaqueira (Artocarpus heterophyllus), por exemplo, é uma árvore originária da Índia e de regiões do Sudeste Asiático que foi introduzida ainda na era colonial e se aclimatou muito bem em praticamente todo o território nacional.
Casos como o dessa árvore podem provocar a redução da biodiversidade, pois elas",ocupam áreas de vegetação nativa e substituem parcialmente a flora original.,estimulam a competição por seus frutos entre animais típicos da região e eliminam as espécies perdedoras.,alteram os nichos e aumentam o número de possibilidades de relações entre os seres vivos daquele ambiente.,apresentam alta taxa de reprodução e se mantêm com um número de indivíduos superior à capacidade suporte do ambiente.
125,"Em um dia de calor intenso, dois colegas estão a brincar com a água da mangueira. Um deles quer saber até que altura o jato de água alcança, a partir da saída de água, quando a mangueira está posicionada totalmente na direção vertical. O outro colega propõe então o seguinte experimento: eles posicionarem a saída de água da mangueira na direção horizontal, a 1 metro de altura em relação ao chão, e então medirem a distância horizontal entre a mangueira e o local onde a água atinge o chão. A medida dessa distância foi de 3 metros, e a partir disso eles calcularam o alcance vertical do jato de água. Considere a aceleração da gravidade de 10 metros por segundo ao quadrado.
O resultado que eles obtiveram foi de","1,50 metro.","2,25 metros.","4,00 metros.","4,50 metros."
126,"O etanol é um combustível produzido a partir da fermentação da sacarose presente no caldo de cana--de-açúcar. Um dos fatores que afeta a produção desse álcool é o grau de deterioração da sacarose, que se inicia após o corte, por causa da ação de microrganismos. Foram analisadas cinco amostras de diferentes tipos de cana-de--açúcar e cada uma recebeu um código de identificação. No quadro são apresentados os dados de concentração de sacarose e de microrganismos presentes nessas amostras.
| Unnamed: 0   | Amostra de cana-de-açúcar    | Unnamed: 2   | Unnamed: 3   | Unnamed: 4   | Unnamed: 5   |
|:-------------|:-----------------------------|:-------------|:-------------|:-------------|:-------------|
| nan          | RB72                         | RB84         | RB92         | SP79         | SP80         |
| Concentração	inicial de sacarose (g L−1)              | 13,0                         | 18,0         | 16,0         | 14,0         | 17,0         |
| Concentração	de	 microrganismos (mg L−1)              | 0,7                          | 0,8          | 0,6          | 0,5          | 0,9          |

Pretende-se escolher o tipo de cana-de-açúcar que conterá o maior teor de sacarose 10 horas após o corte e que, consequentemente, produzirá a maior quantidade de etanol por fermentação. Considere que existe uma redução de aproximadamente 50 por cento da concentração de sacarose nesse tempo, para cada 1,0 miligrama por litro de microrganismos presentes na cana-de-açúcar.
Qual tipo de cana-de-açúcar deve ser escolhido?",RB72,RB84,RB92,SP79
127,"Entre as diversas técnicas para diagnóstico da covid-19, destaca-se o teste genético. Considerando as diferentes variantes e cargas virais, um exemplo é a PCR, reação efetuada por uma enzima do tipo polimerase. Essa técnica permite identificar, com confiabilidade, o material genético do SARS-CoV-2, um vírus de RNA. Para comprovação da infecção por esse coronavírus, são coletadas amostras de secreções do indivíduo. Uma etapa que antecede a reação de PCR precisa ser realizada para permitir a amplificação do material genético do vírus.
Essa etapa deve ser realizada para",concentrar o RNA viral para otimizar a técnica.,identificar nas amostras anticorpos anti-SARS-CoV-2.,"proliferar o vírus em culturas, aumentando a carga viral.","purificar ácidos nucleicos virais, facilitando a ação da enzima."
128,"## Biofísica: fundamentos e aplicações
O quadro mostra valores de corrente elétrica e seus efeitos sobre o corpo humano.

| Corrente elétrica    | Dano físico                       |
|:---------------------|:----------------------------------|
| Até 10 mA            | Dor e contração muscular                                   |
| De 10 mA até 20 mA   | Aumento das contrações musculares |
| De 20 mA até 100 mA  | Parada respiratória               |
| De 100 mA até 3 A    | Fibrilação ventricular                                   |
| Acima de 3 A         | Parada cardíaca e queimaduras     |

A corrente elétrica que percorrerá o corpo de um indivíduo depende da tensão aplicada e da resistência elétrica média do corpo humano. Esse último fator está intimamente relacionado com a umidade da pele, que seca apresenta resistência elétrica da ordem de 500 quilo-ohms, mas, se molhada, pode chegar a apenas 1 quilo-ohm.
Apesar de incomum, é possível sofrer um acidente utilizando baterias de 12 volts. Considere que um indivíduo com a pele molhada sofreu uma parada respiratória ao tocar simultaneamente nos pontos A e B de uma associação de duas dessas baterias.
Qual associação de baterias foi responsável pelo acidente?",[[placeholder]],[[placeholder]],[[placeholder]],[[placeholder]]
129,"Princípios de química: questionando a vida moderna e o meio ambiente
O urânio é empregado como fonte de energia em reatores nucleares. Para tanto, o seu mineral deve ser refinado, convertido a hexafluoreto de urânio e posteriormente enriquecido, para aumentar de 0,7 por cento a 3 por cento a abundância de um isótopo específico — o urânio-235. Uma das formas de enriquecimento utiliza a pequena diferença de massa entre os hexafluoretos de urânio-235 e de urânio-238 para separá-los por efusão, precedida pela vaporização. Esses vapores devem efundir repetidamente milhares de vezes através de barreiras porosas formadas por telas com grande número de pequenos orifícios. No entanto, devido à complexidade e à grande quantidade de energia envolvida, cientistas e engenheiros continuam a pesquisar procedimentos alternativos de enriquecimento.
Considerando a diferença de massa mencionada entre os dois isótopos, que tipo de procedimento alternativo ao da efusão pode ser empregado para tal finalidade?",Peneiração.,Centrifugação.,Extração por solvente.,Destilação fracionada.
130,"A Agência Nacional de Vigilância Sanitária (Anvisa) aprovou um produto de terapia gênica no país, indicado para o tratamento da distrofia hereditária da retina. O procedimento é recomendado para crianças acima de 12 meses e adultos com perda de visão causada pela mutação do gene humano RPE65. O produto, elaborado por engenharia genética, é composto por um vírus, no qual foi inserida uma cópia do gene normal humano RPE65 para corrigir o funcionamento das células da retina.
O sucesso dessa terapia advém do fato de que o produto favorecerá a",correção do código genético para a tradução da proteína.,alteração do RNA ribossômico ligado à síntese da proteína.,produção de mutações benéficas para a correção do problema.,liberação imediata da proteína normal na região ocular humana.
131,"O físico Hans C. Oersted observou que um fio transportando corrente elétrica produz um campo magnético. A presença do campo magnético foi verificada ao aproximar uma bússola de um fio conduzindo corrente elétrica. A figura ilustra um fio percorrido por uma corrente elétrica i, constante e com sentido para cima. Os pontos A, B e C estão num plano transversal e equidistantes do fio. Em cada ponto foi colocada uma bússola.
[[placeholder]]
Considerando apenas o campo magnético por causa da corrente i, as respectivas configurações das bússolas nos pontos A, B e C serão
",[[placeholder]],[[placeholder]],[[placeholder]],[[placeholder]]
132,"Aplicações ambientais de persulfato: remediação de águas subterrâneas e solos contaminados
A figura ilustra esquematicamente um processo de remediação de solos contaminados com tricloroeteno (TCE), um agente desengraxante. Em razão de vazamentos de tanques de estocagem ou de manejo inapropriado de resíduos industriais, ele se encontra presente em águas subterrâneas, nas quais forma uma fase líquida densa não aquosa (DNAPL) que se deposita no fundo do aquífero. Essa tecnologia de descontaminação emprega o íon persulfato (S2O8 de carga dois menos), que é convertido no radical •SO4 de carga negativa por minerais que contêm Fe(3). O esquema representa de forma simplificada o mecanismo de ação química sobre o TCE e a formação dos produtos de degradação.
[[placeholder]]
Esse procedimento de remediação de águas subterrâneas baseia-se em reações de",oxirredução.,substituição.,precipitação.,desidratação.
133,"De acordo com a Organização Mundial da Saúde, a filariose e a leishmaniose são consideradas doenças tropicais infecciosas e constituem uma preocupação para a saúde pública por ser alto o índice de mortalidade a elas associado.
Uma medida profilática comum a essas duas doenças é o(a)",incineração do lixo orgânico.,construção de rede de esgoto.,uso de vermífugo pela população.,controle das populações dos vetores.
134,"## Parque Solar Lapa entra em operação
Em 2017, foi inaugurado, no estado da Bahia, o Parque Solar Lapa, composto por duas usinas (Bom Jesus da Lapa e Lapa) e capaz de gerar cerca de 300 gigawatts-hora de energia por ano. Considere que cada usina apresente potência igual a 75 megawatts, com o parque totalizando uma potência instalada de 150 megawatts. Considere ainda que a irradiância solar média é de 1 500 watts por metro quadrado e que a eficiência dos painéis é de 20 por cento.
Nessas condições, a área total dos painéis solares que compõem o Parque Solar Lapa é mais próxima de:",1 000 000 de metros quadrados,500 000 metros quadrados,250 000 metros quadrados,100 000 metros quadrados
135,"Os riscos apresentados pelos produtos dependem de suas propriedades e da reatividade quando em contato com outras substâncias. Para prevenir os riscos devido à natureza química dos produtos, devemos conhecer a lista de substâncias incompatíveis e de uso cotidiano em fábricas, hospitais e laboratórios, a fim de observar cuidados na estocagem, manipulação e descarte. O quadro elenca algumas dessas incompatibilidades, que podem levar à ocorrência de acidentes.



| Substância                          | Incompatibilidade                          | Riscos associados    |
|:------------------------------------|:-------------------------------------------|:---------------------|
| Ácidos minerais fortes concentrados | Bases fortes, Cianetos, Hipoclorito de sódio | Reação	enérgica, explosão,	produção de oxidante forte e produto tóxico                      |
| Ácido nítrico concentrado           | Matéria orgânica                           | Reação enérgica, explosão e produto tóxico                      |

Considere que houve o descarte indevido de dois conjuntos de substâncias:
(1) ácido clorídrico concentrado com cianeto de potássio;
(2) ácido nítrico concentrado com sacarose.
O descarte dos conjuntos (1) e (2) resultará, respectivamente, em",liberação de gás tóxico e reação oxidativa forte.,reação oxidativa forte e liberação de gás tóxico.,formação de sais tóxicos e reação oxidativa forte.,liberação de gás tóxico e liberação de gás oxidante.
